Date,Duplexing Type,Site Id,Sector,Sector id,Carrier Number DL (earfcn),DL Traffic (GB),UL Traffic (GB),Total Traffic (GB),Average User Throughput in DownLink (Mbps),Average DL PDCP Throughput (Mbit/s),Average UL PDCP Throughput (Mbit/s),Intra Frequency Handover Success Rate (%),Inter Frequency Handover Success Rate (%),Cell Availability,Scell Traffic Volume,Number of CSFB to GSM,Number of CSFB to WCDMA,DC_E_ERBS_EUTRANCELLFDD.pmPagDiscarded,Maximum Number of Users in a Cell,PcellVolume_DL_MAC,ScellVolume_DL_MAC,DL Payload(GB),CA capable DL UE Payload(GB),PS E-UTRAN RRC Setup successful Ratio (%),PS E-UTRAN RAB Setup Success Rate (%),DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeAuto,DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeMan,IRAT/Session Continuity to 2G,PS Drop Call Rate_NUM,PS Drop Call Rate_DENOM,DL User Throughput(Mbps)_DENOM,DL User Throughput(Mbps)_NUM,Average User Throughput in UpLink (Mbps)_NUM,Average User Throughput in UpLink (Mbps)_DENOM,CSSR RRC_DENOM,CSSR RRC_NUM,CSSR eRAB_NUM,CSSR eRAB DENOM,ERAB Drop Rate_DENOM,ERAB Drop Rate_NUM
2024-05-01,FDD,Site6,Site6_B,B,426.0,71.27001131,8.159081101,79.42909241,11.48859327,14.07825153,1.262085525,98.04645212,99.57824639,100.0,1.8952365,977.0,0.0,0.0,76.0,74.86165113,1.8952365,71.26056695,3.125337839,99.94486482,99.88985051,0.0,0.0,183.0,129.0,51431.0,42598141.0,489392716.0,24816148.0,64697275.0,52598.0,52569.0,50784.0,50840.0,51362.0,129.0
2024-05-01,FDD,Site6,Site6_C,C,426.0,178.837338,20.39656436,199.2339023,5.712351599,23.3747201,2.434790339,99.14809357,99.31906615,100.0,3.19417325,1815.0,0.0,0.0,105.0,177.5156949,3.19417325,178.8209635,28.99354947,99.97393502,99.90736307,0.0,0.0,373.0,258.0,103342.0,226331583.0,1292885580.0,71736097.0,144284976.0,88241.0,88218.0,95985.0,96074.0,103191.0,258.0
2024-05-01,FDD,Site6,Site6_A,A,1399.0,166.1662716,20.44007576,186.6063473,9.663296393,24.50253994,2.749208995,98.60142647,99.04753733,100.0,7.98203875,4632.0,0.0,0.0,177.0,175.2709293,7.98203875,166.1307398,14.12466681,99.95446451,99.94144321,0.0,0.0,409.0,333.0,205351.0,114725911.0,1108630482.0,53341237.0,72970154.0,270119.0,269996.0,213343.0,213468.0,205082.0,333.0
2024-05-01,FDD,Site6,Site6_B,B,1399.0,102.1718334,11.98318946,114.1550229,15.63315634,18.52632713,1.953618697,99.0235762,98.647343,100.0,1.208225875,1894.0,0.0,0.0,113.0,107.3015408,1.208225875,102.1542859,7.462496161,99.96071653,99.93579285,0.0,0.0,319.0,122.0,94102.0,42758547.0,668451050.0,30461664.0,42915429.0,101824.0,101784.0,94944.0,95005.0,93968.0,122.0
2024-05-01,FDD,Site6,Site6_C,C,1399.0,201.8660556,23.67263508,225.5386907,8.761980037,27.73119873,2.996660608,98.14350226,99.56385029,100.0,13.05712275,3641.0,0.0,0.0,135.0,212.2121481,13.05712275,201.8287585,21.10108113,99.97592059,99.91872771,0.0,0.0,834.0,396.0,222185.0,155941130.0,1366353068.0,70493975.0,92128878.0,224258.0,224204.0,224986.0,225169.0,221837.0,396.0
2024-05-01,FDD,Site7,Site7_A,A,426.0,57.89902997,9.288959742,67.18798971,4.489163875,9.596694306,1.588933,98.99816774,99.61468722,100.0,2.1155385,1528.0,0.0,0.0,49.0,58.92114388,2.1155385,57.88366389,4.868896365,99.40123882,99.80238169,0.0,0.0,291.0,115.0,46914.0,94993736.0,426442448.0,28497169.0,43290723.0,58120.0,57772.0,38887.0,38964.0,46780.0,115.0
2024-05-01,FDD,Site7,Site7_B,B,426.0,42.02887154,6.620384693,48.64925623,11.44247229,10.05635637,1.152621072,99.05941296,99.97218359,100.0,1.648637875,983.0,0.0,0.0,34.0,43.678112,1.648637875,42.01818156,3.227218986,99.21148738,99.61736088,0.0,0.0,117.0,94.0,30306.0,24521721.0,280589113.0,25018233.0,49454517.0,48192.0,47812.0,27336.0,27441.0,30242.0,94.0
2024-05-01,FDD,Site7,Site7_C,C,426.0,102.6104351,16.441329,119.0517641,3.48089317,13.74249327,2.078801737,98.4263024,99.54597049,100.0,2.53536825,1634.0,0.0,0.0,80.0,106.093543,2.53536825,102.5913987,7.796741724,99.72003404,99.69454967,0.0,0.0,301.0,287.0,68406.0,214041214.0,745054600.0,56188786.0,112534708.0,72866.0,72662.0,58423.0,58602.0,68206.0,287.0
2024-05-01,FDD,Site7,Site7_A,A,1399.0,126.9009448,18.07721019,144.978155,7.101334503,18.08056457,2.519090244,98.96781024,97.88056077,100.0,2.9753455,6162.0,0.0,0.0,99.0,133.1404309,2.9753455,126.8543042,12.29075694,99.8581392,99.93039271,0.0,0.0,300.0,392.0,173603.0,123839183.0,879423463.0,49942990.0,59296200.0,210770.0,210471.0,175147.0,175269.0,173156.0,392.0
2024-05-01,FDD,Site7,Site7_B,B,1399.0,64.52723396,7.741889238,72.2691232,17.39704551,14.97329986,1.504629257,97.87750529,99.61592885,100.0,1.228884375,2352.0,0.0,0.0,50.0,67.48355113,1.228884375,64.50919318,5.339786649,99.93713673,99.90896792,0.0,0.0,132.0,119.0,76757.0,24978041.0,434544116.0,22971282.0,32599045.0,97036.0,96975.0,79021.0,79093.0,76640.0,119.0
